extract,extract_label,type,records,file
Object.cvc__c,cvc,deletes,0,
Object.datalake_transfer_log__v,DataLake Transfer Log,updates,0,
Object.datalake_transfer_log__v,DataLake Transfer Log,deletes,0,
Object.dataset__sys,Dataset,updates,0,
Object.dataset__sys,Dataset,deletes,0,
Object.dataset_item__sys,Dataset Item,updates,0,
Object.dataset_item__sys,Dataset Item,deletes,0,
Object.datasheet__v,Datasheet,updates,0,
Object.datasheet__v,Datasheet,deletes,0,
Object.datasheet_meddra_query__v,Datasheet MedDRA Query,updates,0,
Object.datasheet_meddra_query__v,Datasheet MedDRA Query,deletes,0,
Object.dcba__c,dcba,updates,0,
Object.dcba__c,dcba,deletes,0,
Object.dec__c,dec,updates,0,
Object.dec__c,dec,deletes,0,
Object.dependency__sys,Dependency,updates,0,
Object.dependency__sys,Dependency,deletes,0,
Object.dependency_design__sys,Dependency Design,updates,0,
Object.dependency_design__sys,Dependency Design,deletes,0,
Object.design_country__v,Design Country,updates,0,
Object.design_country__v,Design Country,deletes,0,
Object.design_watchlist__v,Design Watchlist,updates,0,
Object.design_watchlist__v,Design Watchlist,deletes,0,
Object.destination_specific_document_inclusion__v,Destination Specific Document Inclusion,updates,0,
Object.destination_specific_document_inclusion__v,Destination Specific Document Inclusion,deletes,0,
Object.detect_change__c,detect change,updates,0,
Object.detect_change__c,detect change,deletes,0,
Object.device_code__v,Device Code,updates,0,
Object.device_code__v,Device Code,deletes,0,
Object.dictionary__v,Dictionary,updates,0,
Object.dictionary__v,Dictionary,deletes,0,
Object.dictionary_bulk_action__v,Dictionary Bulk Action,updates,0,
Object.dictionary_bulk_action__v,Dictionary Bulk Action,deletes,0,
Object.distribution_jurisdiction__v,Distribution Jurisdiction,updates,0,
Object.distribution_jurisdiction__v,Distribution Jurisdiction,deletes,0,
Object.doc_lifecycle_stage_label__sys,Document Lifecycle Stage Label,updates,0,
Object.doc_lifecycle_stage_label__sys,Document Lifecycle Stage Label,deletes,0,
Object.doc_lifecycle_state_stage__sys,Document Lifecycle State-Stage,updates,0,
Object.doc_lifecycle_state_stage__sys,Document Lifecycle State-Stage,deletes,0,
Object.doc_type_detail__v,Document Type Detail,updates,0,
Object.doc_type_detail__v,Document Type Detail,deletes,0,
Object.doc_type_group__v,Document Type Group,updates,0,
Object.doc_type_group__v,Document Type Group,deletes,0,
Object.doc_type_group_detail__v,Document Type Group Detail,updates,0,
Object.doc_type_group_detail__v,Document Type Group Detail,deletes,0,
Object.document_usage__v,Document Usage,updates,0,
Object.document_usage__v,Document Usage,deletes,0,
Object.dose_form__v,Dose Form,updates,0,
Object.dose_form__v,Dose Form,deletes,0,
Object.edl__v,EDL,updates,0,
Object.edl__v,EDL,deletes,0,
Object.edl_item__v,EDL Item,updates,0,
Object.edl_item__v,EDL Item,deletes,0,
Object.edl_item_template__v,EDL Item Template,updates,0,
Object.edl_item_template__v,EDL Item Template,deletes,0,
Object.edl_template__v,EDL Template,updates,0,
Object.edl_template__v,EDL Template,deletes,0,
Object.edqm__v,EDQM,updates,0,
Object.edqm__v,EDQM,deletes,0,
Object.edqm_mapping__v,EDQM Mapping,updates,0,
Object.edqm_mapping__v,EDQM Mapping,deletes,0,
Object.email__sys,Email,updates,0,
Object.email__sys,Email,deletes,0,
Object.email_destination__v,Email Destination,updates,0,
Object.email_destination__v,Email Destination,deletes,0,
Object.emailed_document__sys,Emailed Document,updates,0,
Object.emailed_document__sys,Emailed Document,deletes,0,
Object.enddate__c,EndDate,updates,0,
Object.enddate__c,EndDate,deletes,0,
Object.envelope__sys,Envelope,updates,0,
Object.envelope__sys,Envelope,deletes,0,
Object.envelope_content__sys,Envelope Content,updates,0,
Object.envelope_content__sys,Envelope Content,deletes,0,
Object.evdas_ermr_data__v,EVDAS eRMR Data,updates,0,
Object.evdas_ermr_data__v,EVDAS eRMR Data,deletes,0,
Object.evdas_ermr_data_line_listing__v,EVDAS eRMR Data Line Listing,updates,0,
Object.evdas_ermr_data_line_listing__v,EVDAS eRMR Data Line Listing,deletes,0,
Object.evdas_line_listing__v,EVDAS Line Listing,updates,0,
Object.evdas_line_listing__v,EVDAS Line Listing,deletes,0,
Object.event__c,Event,updates,0,
Object.event__c,Event,deletes,0,
Object.exception_item__sys,User Exception Item,updates,0,
Object.exception_item__sys,User Exception Item,deletes,0,
Object.exception_message__sys,User Exception Message,updates,0,
Object.exception_message__sys,User Exception Message,deletes,0,
Object.excluded_classification__sys,Excluded Classification,updates,0,
Object.excluded_classification__sys,Excluded Classification,deletes,0,
Object.external_url__sys,External Url,updates,0,
Object.external_url__sys,External Url,deletes,0,
Object.followup_questionnaire_rule__v,Follow-up Questionnaire Rule,updates,0,
Object.followup_questionnaire_rule__v,Follow-up Questionnaire Rule,deletes,0,
Object.followup_rule__v,Follow-Up Rule,updates,0,
Object.followup_rule__v,Follow-Up Rule,deletes,0,
Object.followup_rule_criteria__v,Follow-up Rule Criteria,updates,0,
Object.followup_rule_criteria__v,Follow-up Rule Criteria,deletes,0,
Object.followup_rule_design__v,Follow-up Rule Design,updates,0,
Object.followup_rule_design__v,Follow-up Rule Design,deletes,0,
Object.glossary_definition__sys,Glossary Definition,updates,0,
Object.glossary_definition__sys,Glossary Definition,deletes,0,
Object.glossary_event__sys,Glossary Event,updates,0,
Object.glossary_event__sys,Glossary Event,deletes,0,
Object.holiday__sys,Holiday,updates,0,
Object.holiday__sys,Holiday,deletes,0,
Object.holiday_schedule__sys,Holiday Schedule,updates,0,
Object.holiday_schedule__sys,Holiday Schedule,deletes,0,
Object.imdrf_device_code__v,IMDRF Device Code,updates,0,
Object.imdrf_device_code__v,IMDRF Device Code,deletes,0,
Object.import_code_mapping__v,Import Code Mapping,updates,0,
Object.import_code_mapping__v,Import Code Mapping,deletes,0,
Object.import_field_mapping__v,Import Field Mapping,updates,0,
Object.import_field_mapping__v,Import Field Mapping,deletes,0,
Object.inactive_ingredient__v,Inactive Ingredient,updates,0,
Object.inactive_ingredient__v,Inactive Ingredient,deletes,0,
Object.inactive_ingredient_registration__v,Inactive Ingredient Registration,updates,0,
Object.inactive_ingredient_registration__v,Inactive Ingredient Registration,deletes,0,
Object.inbound_validation_result__v,Inbound Validation Result,updates,0,
Object.inbound_validation_result__v,Inbound Validation Result,deletes,0,
Object.inbound_validation_rule__v,Inbound Validation Rule,updates,0,
Object.inbound_validation_rule__v,Inbound Validation Rule,deletes,0,
Object.inbox_item__v,Inbox Item,updates,0,
Object.inbox_item__v,Inbox Item,deletes,0,
Object.inbox_item_control__v,Inbox Item Control,updates,0,
Object.inbox_item_control__v,Inbox Item Control,deletes,0,
Object.inbox_item_translation__v,Inbox Item Translation,updates,0,
Object.inbox_item_translation__v,Inbox Item Translation,deletes,0,
Object.integration__sys,Integration,updates,0,
Object.integration__sys,Integration,deletes,0,
Object.integration_point__sys,Integration Point,updates,0,
Object.integration_point__sys,Integration Point,deletes,0,
Object.jraap_metadata_c__c,jraap_metadata__c,updates,0,
Object.jraap_metadata_c__c,jraap_metadata__c,deletes,0,
Object.jraap_transaction_log__c,jraap transaction log,updates,0,
Object.jraap_transaction_log__c,jraap transaction log,deletes,0,
Object.jraap_transaction_logger__c,Jraap transaction Logger,updates,0,
Object.jraap_transaction_logger__c,Jraap transaction Logger,deletes,0,
Object.jraap_vault_object__c,Jraap Vault Object,updates,0,
Object.jraap_vault_object__c,Jraap Vault Object,deletes,0,
Object.jvj__c,JVJ,updates,0,
Object.jvj__c,JVJ,deletes,0,
Object.language__sys,Language,updates,0,
Object.language__sys,Language,deletes,0,
Object.language_iso__v,Language (ISO),updates,0,
Object.language_iso__v,Language (ISO),deletes,0,
Object.language_locale__sys,Language Locale,updates,0,
Object.language_locale__sys,Language Locale,deletes,0,
Object.legalhold__v,Legal Hold,updates,0,
Object.legalhold__v,Legal Hold,deletes,0,
Object.legalhold_item__v,Legal Hold Item,updates,0,
Object.legalhold_item__v,Legal Hold Item,deletes,0,
Object.library_question__sys,Library Question,updates,0,
Object.library_question__sys,Library Question,deletes,0,
Object.library_question_reference_document__sys,Library Question Reference Document,updates,0,
Object.library_question_reference_document__sys,Library Question Reference Document,deletes,0,
Object.link_target__sys,Link Target,updates,0,
Object.link_target__sys,Link Target,deletes,0,
Object.literature_abstract_translation__v,Literature Abstract Translation,updates,0,
Object.literature_abstract_translation__v,Literature Abstract Translation,deletes,0,
Object.literature_additional_info__v,Literature Additional Info,updates,0,
Object.literature_additional_info__v,Literature Additional Info,deletes,0,
Object.literature_article__v,Literature Article,updates,0,
Object.literature_article__v,Literature Article,deletes,0,
Object.literature_article_author__v,Literature Author,updates,0,
Object.literature_article_author__v,Literature Author,deletes,0,
Object.literature_article_product__v,Literature Article Product,updates,0,
Object.literature_article_product__v,Literature Article Product,deletes,0,
Object.literature_data__v,Literature Data,updates,0,
Object.literature_data__v,Literature Data,deletes,0,
Object.literature_database__v,Literature Database,updates,0,
Object.literature_database__v,Literature Database,deletes,0,
Object.literature_highlighted_term__v,Literature Highlighted Term,updates,0,
Object.literature_highlighted_term__v,Literature Highlighted Term,deletes,0,
Object.literature_review__v,Literature Review,updates,0,
Object.literature_review__v,Literature Review,deletes,0,
Object.literature_search_group__v,Literature Search Group,updates,0,
Object.literature_search_group__v,Literature Search Group,deletes,0,
Object.literature_search_term__v,Literature Search Term,updates,0,
Object.literature_search_term__v,Literature Search Term,deletes,0,
Object.literature_standard_search_term__v,Literature Standard Search Term,updates,0,
Object.literature_standard_search_term__v,Literature Standard Search Term,deletes,0,
Object.local_reporting_details__v,Local Reporting Details,updates,0,
Object.local_reporting_details__v,Local Reporting Details,deletes,0,
Object.local_reporting_details_product_join__v,Local Reporting Details/Product Join,updates,0,
Object.local_reporting_details_product_join__v,Local Reporting Details/Product Join,deletes,0,
Object.local_rmp__v,Local Risk Management Plan,updates,0,
Object.local_rmp__v,Local Risk Management Plan,deletes,0,
Object.local_rmp_risk__v,Local RMP Risk,updates,0,
Object.local_rmp_risk__v,Local RMP Risk,deletes,0,
Object.local_rmp_version__v,Local Risk Management Plan Version,updates,0,
Object.local_rmp_version__v,Local Risk Management Plan Version,deletes,0,
Object.locale__sys,Locale,updates,0,
Object.locale__sys,Locale,deletes,0,
Object.localization__v,Localization,updates,0,
Object.localization__v,Localization,deletes,0,
Object.localized_case__c,Localized Case,updates,0,
Object.localized_case__c,Localized Case,deletes,0,
Object.localized_case__v,Localized Case,updates,0,
Object.localized_case__v,Localized Case,deletes,0,
Object.localized_case_adverse_event__v,Localized Case Adverse Event,updates,0,
Object.localized_case_adverse_event__v,Localized Case Adverse Event,deletes,0,
Object.localized_case_assessment__v,Localized Case Assessment,updates,0,
